tick,NumAIFactories,NumSuppliers,GreenZones,AvgAILevel,AvgAIGen,MarketPrice,GovBudget,TransitionFund,Supply,Demand
0,50,100,216,0,1,0.85,1002,6,100,50
20,18,103,245,0.37,1,0.82,1091,7,103,50
40,16,90,280,0.57,1,0.92,1101,3,91,50
60,17,64,323,0.82,1,1.31,1074,1,66,50
80,18,47,356,0.96,1,1.86,1039,2,49,50
100,18,39,409,0.97,1,2.32,1006,1,40,50
120,22,45,421,0.88,1,2.03,971,3,45,50
140,24,52,485,0.91,1,1.7,932,2,52,50
160,30,61,535,0.87,1.03,1.58,875,3,60,53
180,32,64,588,0.91,1.06,1.52,806,4,63,55
200,37,75,653,0.9,1.38,1.88,722,5,75,79
220,36,92,708,0.93,1.56,2.12,639,4,91,105
240,39,119,752,0.95,1.62,1.72,539,5,118,112
260,46,144,787,0.89,1.76,1.59,448,7,143,129
280,53,176,851,0.9,1.85,1.41,328,8,176,140
300,70,202,931,0.86,1.86,1.26,184,12,201,142
320,76,238,999,0.92,1.96,1.14,141,12,235,155
340,85,274,1048,0.93,2.19,1.23,140,15,270,189
360,105,301,1038,0.87,2.17,1.09,135,21,299,187
380,124,329,1073,0.89,2.29,1.08,132,22,328,205
400,144,363,1089,0.9,2.35,1.02,132,24,361,215
420,166,407,1089,0.9,2.54,1.06,127,27,405,247
440,199,442,1089,0.89,2.5,0.95,123,33,436,244
460,234,481,1015,0.89,2.5,0.85,117,35,480,242
480,293,515,1075,0.87,2.31,0.66,108,43,515,208
500,346,539,1089,0.88,2.41,0.7,103,46,538,225
