tick,NumAIFactories,NumSuppliers,GreenZones,AvgAILevel,AvgAIGen,MarketPrice,GovBudget,TransitionFund,Supply,Demand
0,50,101,234,0,1,0.83,1003,6,100,50
20,41,101,280,0.35,1,0.84,1029,13,101,50
40,37,97,331,0.52,1,0.88,987,9,98,50
60,39,88,380,0.72,1,0.96,866,4,88,50
80,44,87,461,0.9,1.02,1.02,666,4,87,52
100,49,95,551,0.9,1.31,1.39,433,6,95,76
120,59,112,634,0.89,1.53,1.61,160,7,112,101
140,64,133,731,0.92,1.71,1.67,132,7,132,123
160,75,153,830,0.9,1.91,1.69,132,11,152,145
180,92,178,917,0.87,1.97,1.55,124,15,178,158
200,103,216,987,0.89,2.2,1.75,121,18,214,192
220,137,257,1043,0.84,2.15,1.29,108,25,255,189
240,159,301,1089,0.88,2.25,1.16,109,28,300,200
260,183,338,1089,0.9,2.45,1.21,98,31,336,232
280,216,391,1055,0.9,2.48,1.07,97,33,388,240
300,262,433,1024,0.88,2.39,0.89,89,38,433,225
320,316,461,1054,0.88,2.27,0.74,64,44,460,205
340,363,484,1089,0.89,2.48,0.83,49,49,482,237
360,434,511,1089,0.89,2.56,0.84,30,54,510,253
380,530,541,1087,0.88,2.37,0.68,16,62,538,221
400,600,567,1085,0.91,2.43,0.65,0,63,566,226
420,600,599,1089,0.97,2.95,0.94,0,52,596,324
440,600,640,1089,0.99,3.3,1.05,0,52,635,394
460,600,687,1057,1,3.53,1.18,0,50,685,457
480,600,739,1070,1,3.9,1.32,0,52,737,551
500,600,804,1089,0.99,4.42,1.67,0,52,797,692
