tick,NumAIFactories,NumSuppliers,GreenZones,AvgAILevel,AvgAIGen,MarketPrice,GovBudget,TransitionFund,Supply,Demand
0,50,100,242,0,1,0.84,999,0,100,50
20,39,103,281,0.36,1,0.82,871,0,103,50
40,38,100,314,0.51,1,0.84,693,0,100,50
60,37,98,372,0.72,1,0.84,496,0,98,50
80,45,99,432,0.81,1,0.84,294,0,99,50
100,46,102,524,0.91,1.07,0.93,93,0,102,56
120,53,108,616,0.9,1.21,1.07,21,0,108,68
140,58,117,650,0.92,1.22,1.01,3,0,117,69
160,60,126,721,0.93,1.25,0.99,0,0,125,72
180,73,140,807,0.9,1.33,0.96,0,0,137,76
200,87,164,900,0.88,1.51,1.05,0,0,161,99
220,98,185,975,0.9,1.68,1.1,0,0,184,119
240,116,217,1030,0.9,1.79,1.07,0,0,216,136
260,134,238,1023,0.91,1.86,1.03,0,0,237,142
280,161,267,1070,0.88,1.89,0.94,0,0,266,145
300,192,298,1061,0.89,1.93,0.89,0,0,296,153
320,228,326,1089,0.89,2.01,0.84,0,0,326,163
340,270,360,1089,0.9,2.09,0.82,0,0,359,175
360,329,384,1089,0.88,2.13,0.79,0,0,383,183
380,392,407,1089,0.88,2.14,0.73,0,0,407,183
400,462,428,1089,0.89,2.19,0.74,0,0,424,191
420,545,462,1089,0.89,2.28,0.74,0,0,462,205
440,600,485,1081,0.92,2.22,0.65,0,0,483,195
460,600,515,1089,0.97,2.54,0.78,0,0,513,244
480,600,563,1089,0.99,2.93,0.96,0,0,561,320
500,600,609,1089,0.99,3.37,1.29,0,0,607,415
