tick,NumAIFactories,NumSuppliers,GreenZones,AvgAILevel,AvgAIGen,MarketPrice,GovBudget,TransitionFund,Supply,Demand
0,50,100,233,0,1,0.84,1002,8,100,50
20,39,101,284,0.36,1,0.82,1114,16,101,50
40,38,94,325,0.52,1,0.88,1129,13,95,50
60,41,85,382,0.69,1,0.98,1074,10,86,50
80,44,83,449,0.88,1,1.04,979,10,83,50
100,49,86,507,0.93,1.06,1.17,847,11,86,58
120,54,90,607,0.9,1.24,1.69,705,14,89,83
140,64,112,695,0.87,1.6,2.5,520,17,112,165
160,70,157,805,0.91,1.77,2.44,323,20,155,202
180,82,199,876,0.9,1.84,2.19,136,24,198,234
200,94,262,955,0.9,2.04,2.31,129,29,259,307
220,108,335,995,0.92,2.14,1.89,129,33,328,341
240,132,414,1055,0.89,2.3,1.86,125,42,411,420
260,162,487,1084,0.88,2.31,1.56,115,50,484,424
280,192,554,1089,0.89,2.39,1.54,110,55,550,476
300,223,626,1089,0.91,2.49,1.53,100,60,614,521
320,261,699,1089,0.91,2.6,1.55,96,65,696,599
340,315,772,1089,0.89,2.65,1.47,80,73,767,637
360,378,827,1063,0.89,2.59,1.29,68,77,824,599
380,476,878,1089,0.87,2.53,1.09,47,90,875,556
400,578,923,1089,0.88,2.51,0.99,17,96,920,538
420,600,972,1085,0.95,2.66,1.09,17,92,969,624
440,600,1039,1089,0.98,3.18,1.78,15,92,1036,1006
460,600,1133,1089,0.99,3.67,2.5,12,92,1125,1519
480,600,1267,1089,0.99,4.15,2.5,14,92,1259,2151
500,600,1384,1067,1,4.53,2.7,19,89,1383,2796
