tick,NumAIFactories,NumSuppliers,GreenZones,AvgAILevel,AvgAIGen,MarketPrice,GovBudget,TransitionFund,Supply,Demand
0,50,100,217,0,1,0.84,1004,8,100,50
20,41,104,276,0.38,1,0.81,1089,16,104,50
40,38,99,315,0.55,1,0.84,1079,11,101,50
60,41,89,374,0.73,1,0.95,1020,10,89,50
80,41,83,466,0.89,1.07,1.13,930,9,83,54
100,47,91,535,0.91,1.25,1.41,814,11,90,72
120,52,102,641,0.91,1.44,1.61,656,13,102,91
140,62,116,695,0.89,1.48,1.39,493,18,116,91
160,67,139,799,0.91,1.79,1.7,285,19,137,129
180,78,173,862,0.92,1.86,1.44,135,22,170,141
200,95,203,948,0.87,2,1.42,132,31,201,159
220,108,230,1019,0.89,2.13,1.39,125,34,229,180
240,132,264,1070,0.89,2.15,1.19,120,42,263,183
260,175,296,1055,0.85,2.02,0.96,112,52,294,168
280,211,323,1088,0.87,2.14,0.95,105,58,322,183
300,264,356,1089,0.87,2.13,0.87,92,67,356,183
320,312,392,1089,0.89,2.28,0.86,76,72,391,200
340,366,426,1089,0.9,2.4,0.87,65,78,425,223
360,432,460,1089,0.9,2.51,0.88,52,85,457,242
380,507,500,1089,0.9,2.56,0.85,34,90,499,254
400,586,541,1089,0.91,2.72,0.89,13,95,539,280
420,600,569,1056,0.96,2.84,0.92,5,89,567,306
440,600,600,1089,0.98,3.28,1.14,16,92,599,392
460,600,638,1089,0.99,3.31,1.3,14,92,637,467
480,600,703,1089,0.99,3.59,1.41,17,92,698,567
500,600,785,1089,0.99,3.67,1.72,18,92,780,707
