tick,NumAIFactories,NumSuppliers,GreenZones,AvgAILevel,AvgAIGen,MarketPrice,GovBudget,TransitionFund,Supply,Demand
0,50,100,223,0,1,0.84,1002,8,100,50
20,43,102,268,0.37,1,0.83,1094,17,102,50
40,42,98,307,0.54,1,0.86,1104,12,99,50
60,44,96,365,0.75,1.02,0.86,1032,10,96,50
80,49,98,452,0.9,1.02,0.87,944,10,98,52
100,54,101,573,0.93,1.24,1.24,810,12,101,72
120,59,112,670,0.9,1.52,1.56,631,16,111,98
140,69,127,757,0.88,1.58,1.52,445,20,127,107
160,73,153,850,0.91,1.9,1.71,224,21,151,147
180,82,191,942,0.93,2.13,1.7,134,25,190,178
200,102,231,1006,0.89,2.17,1.58,127,33,229,187
220,123,275,1057,0.88,2.32,1.32,117,40,273,210
240,160,315,1085,0.86,2.24,1.1,119,51,308,200
260,181,344,1089,0.9,2.42,1.18,111,52,342,228
280,216,390,1089,0.9,2.5,1.08,104,59,386,242
300,268,418,1089,0.88,2.52,0.99,89,66,416,244
320,318,455,1089,0.89,2.54,0.9,78,74,454,246
340,375,500,1089,0.89,2.61,0.89,65,80,499,262
360,455,546,1089,0.89,2.59,0.79,45,87,545,258
380,539,570,1089,0.89,2.67,0.78,27,93,568,269
400,600,596,1089,0.92,2.77,0.83,23,95,594,290
420,600,637,1089,0.98,3.19,1,12,92,631,376
440,600,694,1089,0.99,3.7,1.22,20,92,689,489
460,600,751,1089,0.99,4.16,1.46,13,92,747,617
480,600,839,1089,0.99,4.61,1.57,9,92,836,753
500,600,925,1089,0.99,5,1.81,17,92,922,875
