tick,NumAIFactories,NumSuppliers,GreenZones,AvgAILevel,AvgAIGen,MarketPrice,GovBudget,TransitionFund,Supply,Demand
0,30,100,221,0.0,1.0,0.85,632,8,100,40
20,30,102,257,0.36,1.0,0.83,726,16,102,40
40,30,91,313,0.52,1.0,0.94,659,11,91,40
60,31,80,364,0.69,1.0,1.07,732,8,81,40
80,39,75,433,0.85,1.0,1.14,660,9,76,40
100,44,83,491,0.9,1.0,1.55,546,10,81,56
120,52,90,557,0.88,1.0,1.73,434,14,90,68
140,55,112,628,0.9,1.18,1.62,277,15,111,78
160,61,124,723,0.85,1.11,1.42,183,23,122,76
180,63,142,794,0.87,1.09,1.28,116,25,142,81
200,61,156,871,0.9,1.07,1.27,64,28,154,85
220,96,183,939,0.93,1.39,1.58,52,32,182,122
240,103,220,1032,0.9,1.45,1.51,95,42,218,138
260,120,264,1075,0.89,1.57,1.37,126,48,263,154
280,151,310,1075,0.91,1.53,1.17,77,50,306,152
300,153,349,1075,0.9,1.67,1.12,71,57,348,168
320,198,396,1075,0.9,1.44,0.87,120,60,396,152
340,232,425,1083,0.89,1.7,0.9,54,70,424,168
360,262,467,1086,0.89,1.89,0.88,21,77,461,178
380,346,501,1087,0.87,1.7,0.74,60,88,499,165
400,425,537,1087,0.88,1.52,0.65,-4,92,537,153
420,459,566,1088,0.92,1.66,0.66,-12,94,566,163
440,464,594,1088,0.98,1.82,0.92,64,92,592,229
460,451,638,1088,0.99,2.06,1.12,-13,92,636,301
480,479,721,1088,0.99,2.55,1.34,-124,92,714,384
500,434,789,1088,0.99,2.74,1.65,28,92,788,476
