tick,NumAIFactories,NumSuppliers,GreenZones,AvgAILevel,AvgAIGen,MarketPrice,GovBudget,TransitionFund,Supply,Demand
0,51,100,221,0,1,0.85,1003,8,100,50
20,38,102,267,0.36,1,0.83,1132,16,102,50
40,35,91,316,0.52,1,0.94,1145,11,91,50
60,36,80,372,0.69,1,1.07,1078,8,81,50
80,41,75,449,0.85,1,1.14,984,9,76,50
100,44,83,518,0.9,1.25,1.55,881,10,81,72
120,54,90,590,0.88,1.42,1.73,752,14,90,88
140,60,112,669,0.9,1.53,1.62,580,15,111,101
160,79,124,742,0.85,1.52,1.42,371,23,122,99
180,87,142,817,0.87,1.61,1.28,132,25,142,106
200,97,156,894,0.9,1.64,1.27,127,28,154,111
220,108,183,987,0.93,2,1.58,127,32,182,161
240,134,220,1054,0.9,2.15,1.51,122,42,218,183
260,159,264,1089,0.89,2.27,1.37,119,48,263,205
280,180,310,1062,0.91,2.26,1.17,114,50,306,203
300,210,349,1074,0.9,2.4,1.12,100,57,348,225
320,247,396,1052,0.9,2.27,0.87,93,60,396,205
340,299,425,1089,0.89,2.4,0.9,84,70,424,228
360,357,467,1089,0.89,2.5,0.88,68,77,461,242
380,457,501,1089,0.87,2.41,0.74,49,88,499,225
400,550,537,1072,0.88,2.28,0.65,17,92,537,210
420,600,566,1089,0.92,2.42,0.66,13,94,566,225
440,600,594,1089,0.98,2.92,0.92,0,92,592,318
460,600,638,1089,0.99,3.39,1.12,4,92,636,419
480,600,721,1089,0.99,3.88,1.34,17,92,714,538
500,600,789,1089,0.99,4.36,1.65,22,92,788,671
